mainurl,score,title
https://movie.douban.com/subject/25899379/?from=tag_all,7.0,请叫我英雄 アイアムアヒーロー
https://movie.douban.com/subject/1302050/?from=tag_all,7.7,广岛之恋 Hiroshima mon amour
https://movie.douban.com/subject/1307306/?from=tag_all,8.7,黄昏的清兵卫 たそがれ清兵衛
https://movie.douban.com/subject/1917171/?from=tag_all,8.0,硫磺岛的来信 Letters from Iwo Jima
https://movie.douban.com/subject/10527275/?from=tag_all,8.9,来自新世界 新世界より
https://movie.douban.com/subject/1433342/?from=tag_all,9.2,钢之炼金术师 鋼の錬金術師
https://movie.douban.com/subject/1465654/?from=tag_all,8.9,女王的教室 女王の教室
https://movie.douban.com/subject/6894811/?from=tag_all,9.1,男子高中生的日常 男子高校生の日常
https://movie.douban.com/subject/3284269/?from=tag_all,9.4,夏目友人帐 第二季 続 夏目友人帳
https://movie.douban.com/subject/25804453/?from=tag_all,8.5,大川端侦探社 リバースエッジ 大川端探偵社
https://movie.douban.com/subject/1782004/?from=tag_all,9.4,哆啦A梦 ドラえもん
https://movie.douban.com/subject/1684322/?from=tag_all,9.4,银河英雄传说 銀河英雄伝説
https://movie.douban.com/subject/1306807/?from=tag_all,8.6,二十四只眼睛 二十四の瞳
https://movie.douban.com/subject/1652592/?from=tag_all,,阿丽塔：战斗天使 Alita: Battle Angel
https://movie.douban.com/subject/5968334/?from=tag_all,8.1,丈夫得了抑郁症 ツレがうつになりまして。
https://movie.douban.com/subject/1477317/?from=tag_all,8.6,悲伤的贝拉多娜 哀しみのベラドンナ
https://movie.douban.com/subject/25780651/?from=tag_all,8.8,明天，妈妈不在 明日、ママがいない
https://movie.douban.com/subject/10001418/?from=tag_all,8.8,冰菓 氷菓
https://movie.douban.com/subject/1366165/?from=tag_all,8.9,死者田园祭 田園に死す
https://movie.douban.com/subject/2065021/?from=tag_all,7.7,热血高校 クローズZERO
https://movie.douban.com/subject/26698219/?from=tag_all,8.9,小豆豆电视台 トットてれび
https://movie.douban.com/subject/1903286/?from=tag_all,9.0,温柔时刻 優しい時間
https://movie.douban.com/subject/1301359/?from=tag_all,8.4,五个扑水的少年 ウォーターボーイズ
https://movie.douban.com/subject/5262338/?from=tag_all,7.8,虞美人盛开的山坡 コクリコ坂から
https://movie.douban.com/subject/1316572/?from=tag_all,8.4,导盲犬小Q クイール
https://movie.douban.com/subject/2982823/?from=tag_all,8.7,河童之夏 河童のクゥと夏休み
https://movie.douban.com/subject/1436900/?from=tag_all,8.9,1公升的泪 1リットルの涙
https://movie.douban.com/subject/2043155/?from=tag_all,8.9,反叛的鲁路修 コードギアス 反逆のルルーシュ
https://movie.douban.com/subject/26683353/?from=tag_all,7.3,何者
https://movie.douban.com/subject/1782006/?from=tag_all,9.0,七龙珠 ドラゴンボール
https://movie.douban.com/subject/1427318/?from=tag_all,8.7,火影忍者 NARUTO -ナルト-
https://movie.douban.com/subject/1307031/?from=tag_all,8.8,星际牛仔：天国之门 カウボーイビバップ 天国の扉
https://movie.douban.com/subject/2173112/?from=tag_all,9.2,虎与龙 タイガー&ドラゴン
https://movie.douban.com/subject/25831331/?from=tag_all,9.3,续倒数第二次恋爱 続・最後から二番目の恋
https://movie.douban.com/subject/26588676/?from=tag_all,9.2,孤独的美食家 第五季 孤独のグルメ Season5
https://movie.douban.com/subject/1884684/?from=tag_all,7.6,沉默 Silence
https://movie.douban.com/subject/2160933/?from=tag_all,8.9,不能结婚的男人 結婚できない男
https://movie.douban.com/subject/6010171/?from=tag_all,8.1,给桃子的信 ももへの手紙
https://movie.douban.com/subject/25790749/?from=tag_all,9.1,最完美的离婚 2014特别篇 最高の離婚Special 2014
https://movie.douban.com/subject/26427106/?from=tag_all,8.8,只有我不存在的城市 僕だけがいない街
https://movie.douban.com/subject/1970134/?from=tag_all,8.9,数码宝贝 デジモンアドベンチャー
https://movie.douban.com/subject/1295815/?from=tag_all,8.2,那年夏天，宁静的海 あの夏、いちばん静かな海
https://movie.douban.com/subject/25884841/?from=tag_all,8.6,真田丸
https://movie.douban.com/subject/25955381/?from=tag_all,9.4,白箱 SHIROBAKO
https://movie.douban.com/subject/26348414/?from=tag_all,4.7,追捕
https://movie.douban.com/subject/1794082/?from=tag_all,9.1,娜娜 NANA -ナナ-
https://movie.douban.com/subject/26810837/?from=tag_all,8.4,为你取名的那一天 犬に名前をつける日
https://movie.douban.com/subject/3892394/?from=tag_all,8.9,仁医 JIN-仁-
https://movie.douban.com/subject/1292515/?from=tag_all,8.8,用心棒
https://movie.douban.com/subject/2270390/?from=tag_all,8.2,神探伽利略 ガリレオ
https://movie.douban.com/subject/26589497/?from=tag_all,5.7,热血街区电影版 HiGH&LOW THE MOVIE
https://movie.douban.com/subject/26689409/?from=tag_all,8.2,我的家里空无一物 わたしのウチには、なんにもない。
https://movie.douban.com/subject/4226460/?from=tag_all,8.6,苍穹之昴
https://movie.douban.com/subject/4848701/?from=tag_all,9.2,日常
https://movie.douban.com/subject/25774050/?from=tag_all,7.4,寄生兽 寄生獣
https://movie.douban.com/subject/26708698/?from=tag_all,8.2,在下坂本，有何贵干？ 坂本ですが？
https://movie.douban.com/subject/1464448/?from=tag_all,8.7,犬夜叉 いぬやしゃ
https://movie.douban.com/subject/3602965/?from=tag_all,8.5,爱情洗牌 Love Shuffle
https://movie.douban.com/subject/1301948/?from=tag_all,8.3,梦旅人 PicNic
https://movie.douban.com/subject/21767183/?from=tag_all,8.2,0.5毫米 0.5ミリ
https://movie.douban.com/subject/26282448/?from=tag_all,8.3,火影忍者剧场版：博人传 BORUTO -NARUTO THE MOVIE-
https://movie.douban.com/subject/1328665/?from=tag_all,8.6,笑之大学 笑の大学
https://movie.douban.com/subject/5416070/?from=tag_all,9.0,命运之夜前传 第一期 Fate/Zero
https://movie.douban.com/subject/24843604/?from=tag_all,8.6,鬼灯的冷彻 鬼灯の冷徹
https://movie.douban.com/subject/25774052/?from=tag_all,8.9,寄生兽 生命的准则 寄生獣 セイの格率
https://movie.douban.com/subject/5967223/?from=tag_all,9.4,夏目友人帐 第三季 夏目友人帳 参
https://movie.douban.com/subject/1306885/?from=tag_all,8.3,幻之光 幻の光
https://movie.douban.com/subject/3003830/?from=tag_all,7.0,恋空
https://movie.douban.com/subject/2157507/?from=tag_all,8.3,魔幻时刻 ザ・マジックアワー
https://movie.douban.com/subject/26387719/?from=tag_all,8.4,民王
https://movie.douban.com/subject/26546794/?from=tag_all,8.3,掟上今日子的备忘录 掟上今日子の備忘録
https://movie.douban.com/subject/1304920/?from=tag_all,9.2,切腹
https://movie.douban.com/subject/26754896/?from=tag_all,9.4,夏目友人帐 第五季 夏目友人帳 伍
https://movie.douban.com/subject/1306808/?from=tag_all,7.3,咒怨 呪怨
https://movie.douban.com/subject/2157504/?from=tag_all,7.9,百万元与苦虫女 百万円と苦虫女
https://movie.douban.com/subject/4935011/?from=tag_all,7.9,白兔糖 うさぎドロップ
https://movie.douban.com/subject/1463224/?from=tag_all,8.8,永远的三丁目的夕阳 ALWAYS 三丁目の夕日
https://movie.douban.com/subject/1389924/?from=tag_all,8.6,青之炎 青の炎
https://movie.douban.com/subject/2567646/?from=tag_all,9.2,福音战士新剧场版：破 ヱヴァンゲリヲン新劇場版：破
https://movie.douban.com/subject/26608268/?from=tag_all,8.5,亚人 亜人
https://movie.douban.com/subject/2326676/?from=tag_all,9.2,越狱兔 第一季 ウサビッチ
https://movie.douban.com/subject/2209368/?from=tag_all,7.3,新宿事件
https://movie.douban.com/subject/1451430/?from=tag_all,8.2,野猪大改造 野ブタ。をプロデュース
https://movie.douban.com/subject/25823110/?from=tag_all,8.5,BORDER
https://movie.douban.com/subject/1959154/?from=tag_all,9.5,北国之恋 北の国から
https://movie.douban.com/subject/1465668/?from=tag_all,8.0,花样男子 花より男子
https://movie.douban.com/subject/2357707/?from=tag_all,8.2,名侦探柯南：迷宫的十字路口 名探偵コナン 迷宮の十字路
https://movie.douban.com/subject/10439358/?from=tag_all,7.0,狼狈 ヘルタースケルター
https://movie.douban.com/subject/4074292/?from=tag_all,9.0,凉宫春日的消失 涼宮ハルヒの消失
